"","Sample_ID_Year","Salamander_ID","Date_Sample","Total_Diet_Biomass"
"1","01_2021","597",2021-07-12,284.06
"2","02_2021","2304A",2021-07-12,435.021
"3","03_2021","982000365435014",2021-07-12,134.375
"4","04_2021","122A",2021-07-12,389.523
"5","05_2021","9898",2021-07-12,533.24
"6","06_2021","985170001736603",2021-07-12,68.2469999999999
"7","07_2021","4358642219",2021-07-12,302.455
"8","08_2021","702D",2021-07-12,321.811
"9","09_2021","982000167208175",2021-07-12,397.954
"10","10_2021","982000167212269",2021-07-12,321.758
"11","11_2021","982000167211662",2021-07-12,120.456
"12","12_2021","900118000003084",2021-07-12,87.75
"13","13_2021","982000167201639",2021-07-12,112.23
"14","14_2021","900118000002890",2021-07-12,6.62200000000002
"15","15_2021","71B",2021-07-12,10.403
"16","16_2021","985170001765443",2021-07-12,2.836
"17","17_2021","982000365435107",2021-07-12,2.375
"18","18_2021","985170001764252",2021-07-12,14.929
"19","19_2021","1370",2021-07-12,0.895000000000003
"20","20_2021","982000167212734",2021-07-12,117.838
"21","21_2021","985170001727662",2021-07-12,2.28999999999999
"22","22_2021","8424",2021-07-12,4.51799999999999
"23","23_2021","985170001889645",2021-07-12,3.19
"24","24_2021","982126054418822",2021-07-12,2.616
"25","25_2021","985170001972439",2021-07-12,65.464
"26","26_2021","24B",2021-07-12,11.268
"27","27_2021","982000167212665",2021-07-12,5.274
"28","28_2021","982126054418841",2021-07-12,7.605
"29","29_2021","982000167209009",2021-07-12,0.233999999999998
"30","30_2021","434D432441",2021-07-12,0.00600000000000023
"31","31_2021","210B",2021-07-12,52.466
"32","32_2021","3001B",2021-07-12,40.863
"33","33_2021","101B",2021-07-12,73.422
"34","34_2021","900118000002982",2021-07-12,104.518
"35","35_2021","3100",2021-07-12,5.44499999999999
"36","36_2021","982000167205273",2021-07-27,144.743
"37","37_2021","900118000002890",2021-07-27,135.359
"38","38_2021","982000365435107",2021-07-27,26.79
"39","39_2021","71B",2021-07-27,124.59
"40","40_2021","9812",2021-07-27,33.715
"41","41_2021","9441",2021-07-27,17.6379999999999
"42","42_2021","2304A",2021-07-27,18.1609999999999
"43","43_2021","7934",2021-07-27,83.1810000000002
"44","44_2021","5902",2021-07-27,240.069
"45","45_2021","7",2021-07-27,223.322
"46","46_2021","4358642219",2021-07-27,173.771
"47","47_2021","435928254A",2021-07-27,135.285
"48","48_2021","9898",2021-07-27,2.66999999999999
"49","49_2021","900118000002907",2021-07-27,232.94
"50","50_2021","985170001696220",2021-07-27,237.139
"51","51_2021","985170001972439",2021-07-27,25.075
"52","52_2021","340C",2021-07-27,86.1819999999998
"53","53_2021","1492",2021-07-27,58.46
"54","54_2021","3100",2021-07-27,60.011
"55","55_2021","900118000002982",2021-07-27,107.842
"56","56_2021","900118000002813",2021-07-27,84.74
"57","01_2022","982091066167345",2022-07-11,66.5
"58","02_2022","982000167212133",2022-07-11,18.8999999999998
"59","03_2022","982091066165252",2022-07-11,46.2
"60","04_2022","900118000002910",2022-07-11,34.9
"61","05_2022","982000167212734",2022-07-11,60.7
"62","06_2022","982091066167420",2022-07-11,15.5000000000001
"63","07_2022","982000167211706",2022-07-11,94.8000000000003
"64","08_2022","900118000002846",2022-07-11,15.5999999999999
"65","09_2022","982000365434928",2022-07-11,26.7
"66","10_2022","982000167193199",2022-07-11,9.19999999999993
"67","11_2022","900118000002813",2022-07-11,41.8
"68","12_2022","982000167194693",2022-07-11,85.0000000000001
"69","13_2022","982000167194011",2022-07-11,25.6
"70","14_2022","982000365435045",2022-07-11,28
"71","15_2022","982091066167278",2022-07-11,75.4
"72","16_2022","982091066165094",2022-07-11,65.2999999999999
"73","17_2022","985170002017106",2022-07-11,95.3999999999998
"74","18_2022","982091066167332",2022-07-11,38.9999999999998
"75","19_2022","985170001800545",2022-07-11,52.4
"76","20_2022","982091066167290",2022-07-11,29.2
"77","21_2022","982000365434890",2022-07-11,68.8
"78","22_2022","982091066167264",2022-07-11,65.6999999999999
"79","23_2022","900118000002907",2022-07-11,62.6000000000001
"80","24_2022","982000365435090",2022-07-25,3.3
"81","25_2022","982000167210468",2022-07-25,6.99999999999999
"82","26_2022","982091066164836",2022-07-25,10.1
"83","27_2022","900118000003084",2022-07-25,21
"84","28_2022","982091066165118",2022-07-25,91.8999999999999
"85","29_2022","982091066164617",2022-07-25,43.5000000000001
"86","30_2022","900118000002907",2022-07-25,14.4000000000001
"87","31_2022","982000167211662",2022-07-25,121.7
"88","32_2022","900118000002910",2022-07-25,7.90000000000002
"89","33_2022","900118000002813",2022-07-25,6.3
"90","34_2022","982091066165094",2022-07-25,0.700000000000006
"91","35_2022","1004E",2022-07-25,0.499999999999987
"92","36_2022","434D432441",2022-07-25,0.5
"93","37_2022","982126054418841",2022-07-25,19.5
"94","38_2022","982091066164847",2022-07-25,16.9
"95","39_2022","702D",2022-07-25,3.8
"96","40_2022","7",2022-07-25,1.9
"97","41_2022","985170001736603",2022-07-25,1.40000000000001
